scope,object,id,site,region,type,shape,symbol,position_class,order,text
local_090_740,B-1,27.1,Banawali,Eastern Headwaters,SEAL:S,square,Bull1:O,initial,090_before_740,+090-740-220-002-368-550-821+
local_090_740,C-6,94.1,Chanhu-daro,Lower Indus,SEAL:S,square,Bull1:J,internal,090_before_740,+817-521-521/090-740-221-002-031-500+
local_090_740,4332.1,4332.1,Dholavira,Gujarat/Kutch,TAG,NA,NA,initial,090_before_740,+090-740-000[
local_090_740,H-294,217.1,Harappa,Inter-Riverine,TAB:I,rectangular,S590,initial,090_before_740,+090-740-240-220+
local_090_740,H-1056,237.1,Harappa,Inter-Riverine,SEAL:S,square,Bull1,internal,090_before_740,+400-090-740-220-003+
local_090_740,H-1030,284.1,Harappa,Inter-Riverine,SEAL:S,square,Bull1:W,initial,090_before_740,+090-740-103-002-861+
local_090_740,321.1,321.1,Unknown,Other,SEAL:S,square,Bull1:J,initial,090_before_740,+090-740-103-741-066+
local_090_740,338.1,338.1,Harappa,Inter-Riverine,POT:T:g,NA,NA,near_terminal,740_before_090,+740-066-090-400[
local_090_740,H-2175,533.1,Harappa,Inter-Riverine,TAB:I,rectangular-round,Fish,initial,090_before_740,+090-740-101-031+
local_090_740,H-1969,545.1,Harappa,Inter-Riverine,TAB:B,rectangular,Gaur,initial,090_before_740,+090-740-176[
local_090_740,H-1906,554.2,Harappa,Inter-Riverine,TAB:B,heart,NA,internal,090_before_740,+400-090-740-400-090+
local_090_740,H-2019,904.1,Harappa,Inter-Riverine,TAB:B,prism,Gavi,initial,090_before_740,+090-740-240-235+
local_090_740,H-1685,576.1,Harappa,Inter-Riverine,SEAL:S,square,Bull,initial,090_before_740,+090-740-220-000-000-000-000+
local_090_740,H-2197,578.2,Harappa,Inter-Riverine,TAB:I,circular,NA,internal,090_before_740,+400-090-740-100-390-231+
local_090_740,H-2334,606.1,Harappa,Inter-Riverine,POT:T:g,NA,NA,initial,090_before_740,+090-740-400-000-000[
local_090_740,H-2030,886.1,Harappa,Inter-Riverine,TAB:B,rectangular,Mult,initial,090_before_740,+090-740-176-741-347+
local_090_740,H-2143,752.2,Harappa,Inter-Riverine,TAB:I,rectangular,NA,initial,090_before_740,+090-740-792+
local_090_740,H-1840,788.1,Harappa,Inter-Riverine,TAB:B,rectangular,Bird,initial,090_before_740,+090-740-255-705-060-550+
local_090_740,H-188,1221.1,Harappa,Inter-Riverine,TAB:B,rectangular,Phyt,internal,090_before_740,+400-090-740-100-415+
local_090_740,H-2190,838.1,Harappa,Inter-Riverine,TAB:I,heart,NA,initial,090_before_740,+090-740-327+
local_090_740,H-2013,1002.1,Harappa,Inter-Riverine,TAB:B,rectangular-round,Bull1,initial,090_before_740,+090-740-100-801-000+
local_090_740,H-45,1104.1,Harappa,Inter-Riverine,SEAL:S,square,Bull1:W,initial,090_before_740,+090-740-101-002-820+
local_090_740,H-68,1127.1,Harappa,Inter-Riverine,SEAL:S,square,Bull1:I,initial,090_before_740,+090-740-220-003-002-390-072+
local_090_740,H-345,1365.1,Harappa,Inter-Riverine,TAB:I,circular,NA,initial,090_before_740,+090-740-362+
local_090_740,L-189,2111.1,Lothal,Gujarat/Kutch,TAG,NA,NA,initial,090_before_740,+090-740-220-000[
local_090_740,H-440,1430.1,Harappa,Inter-Riverine,SEAL:S,square,Bull1:W,initial,090_before_740,+090-740-240-031+
local_090_740,H-461,1450.1,Harappa,Inter-Riverine,SEAL:S,square,Bull1:S,initial,090_before_740,+090-740-384-002-452-000+
local_090_740,H-502,1480.1,Harappa,Inter-Riverine,SEAL:S,square,Bull1:J,initial,090_before_740,+090-740-220-032+
local_090_740,M-265,2788.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Zebu,initial,090_before_740,+090-740-035-171-061+
local_090_740,H-722,1624.1,Harappa,Inter-Riverine,TAB:B,cylindrical,Phyt,internal,090_before_740,+400-090-740-000[
local_090_740,H-954,1834.1,Harappa,Inter-Riverine,TAB:I,rectangular,NA,initial,090_before_740,+090-740-235-240+
local_090_740,K-16,1891.1,Kalibangan,Inter-Riverine,SEAL:S,square,Bull1:X,initial,090_before_740,+090-740-240/060-820+
local_090_740,K-55,1918.1,Kalibangan,Inter-Riverine,SEAL,NA,NA,initial,090_before_740,+090-740-004-000[
local_090_740,K-89,1944.1,Kalibangan,Inter-Riverine,TAG:L,NA,Bull1,initial,090_before_740,+090-740-362-002-360-832+
local_090_740,K-121,1965.1,Kalibangan,Inter-Riverine,ROD,NA,NA,initial,090_before_740,+090-740-240-032-000+
local_090_740,L-4,1986.1,Lothal,Gujarat/Kutch,SEAL:S,square,Bull1,initial,090_before_740,+090-740-100-233-002-575-031+
local_090_740,L-31,2007.1,Lothal,Gujarat/Kutch,SEAL:S,square,Bull1,initial,090_before_740,+090-255-740-233-000[
local_090_740,L-41,2013.1,Lothal,Gujarat/Kutch,SEAL:S,square,Bull,initial,090_before_740,+090-740-233-002-817+
local_090_740,L-78 ,2033.1,Lothal,Gujarat/Kutch,SEAL:R,cuboid-convex,NA,initial,090_before_740,+090-740-000-503+
local_090_740,L-127,5388.1,Lothal,Gujarat/Kutch,TAG:L,NA,Bull1,initial,090_before_740,+090-740-220-055-001-741-500-705+
local_090_740,L-217,2133.2,Lothal,Gujarat/Kutch,TAB:B,rectangular,Mult,near_terminal,740_before_090,+740-090-703+
local_090_740,M-1685,2197.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:S,initial,090_before_740,+090-740-101-908-545+
local_090_740,M-1674,2240.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:J,initial,090_before_740,+090-740-222-231-002-861-683+
local_090_740,M-1746,2283.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:S,initial,090_before_740,+090-740-100-415-240-002-817+
local_090_740,M-1770,2354.1,Mohenjo-daro,Lower Indus,SEAL:S,square,Bull1:U,near_terminal,740_before_090,+740-176-390-090-390+
local_090_740,M-2122,2369.1,Mohenjo-daro,Lower Indus,IMPL,NA,NA,terminal,740_before_090,+832/006-740/090+
local_090_740,M-1416,3704.1,Mohenjo-daro,Lower Indus,TAB:B,rectangular,Cros,initial,090_before_740,+090-740-240-235-590-645-104+
