next_after_390,rows,next_distribution,tail_distribution,source_classes,sites,cisis,decision
125,4,125:4,195:1;632 032:1;632 032 900 563:1;820:1,mayig_only:1;public_route_needs_panel_binding:1;source_context_needs_token_box:1;source_hint_needs_route:1,Mohenjo-daro:3;Surkotada:1,M-38;M-119;M-735;Sktd-1,largest_raw_next_group_but_source_weak_and_nonterminal
095,2,095:2,<END>:2,source_hint_needs_route:1;unrouted:1,Harappa:1;Mohenjo-daro:1,H-1993;M-71,repeated_terminal_non125_comparator_source_needed
705,2,705:2,<END>:2,object_unresolved:1;source_hint_needs_route:1,Dholavira:1;Mohenjo-daro:1,M-1825;-,repeated_terminal_non125_comparator_source_needed
072,1,072:1,<END>:1,source_hint_needs_route:1,Harappa:1,H-68,context_or_singleton_control
140,1,140:1,<END>:1,source_hint_needs_route:1,Mohenjo-daro:1,M-708,context_or_singleton_control
346,1,346:1,<END>:1,source_hint_needs_route:1,Mohenjo-daro:1,M-213,context_or_singleton_control
530,1,530:1,741:1,source_hint_needs_route:1,Harappa:1,H-773,context_or_singleton_control
590,1,590:1,032:1,object_unresolved:1,Unknown:1,-,context_or_singleton_control
692,1,692:1,<END>:1,source_visible_control:1,Mohenjo-daro:1,M-70,source_visible_non125_control
707,1,707:1,<END>:1,source_hint_needs_route:1,Mohenjo-daro:1,M-232,context_or_singleton_control
