sign_id,orientation_policy,sample_count,modal_brahmi_label,v3_cisi_modal_label,v3_cisi_modal_share,impostor_ge_observed_share,original_shape_null_share,original_label_null_share,unique_sha256_count,unique_cisi_count,unique_source_path_count,duplicate_collapse_status,independence_status,unanimity_after_collapse,modal_label_stable_after_collapse,passes_real_token_impostor_threshold,passes_shape_null_threshold,passes_label_null_threshold,passes_min_independence,passes_duplicate_unanimity,passes_modal_stability,review_packet_eligible,low_null_failure_class,blocked_reasons,cisis,source_paths
527,visual_ltr_catalog_order,6,ra,ra,1.000000,0.000000,0.035000,0.031000,2,1,6,raw_unanimity_single_cisi_only,fails_min_independence,unanimous,true,true,false,false,false,true,true,false,low_impostor_but_shape_and_label_nulls_fail,fewer_than_3_unique_token_hashes;fewer_than_3_unique_cisis;shape_null_above_0_01;label_null_above_0_01,M-1320,tmp/effective_unicity_directionality_blind_packet/source_crops/M_1320_A_signband_source.png|tmp/effective_unicity_directionality_blind_packet/source_crops/M_1320_a_signband_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1320_a_diagnostic_v1_failed_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1320_A_diagnostic_v1_failed_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_1320_A_diagnostic_v1_failed_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1320_A_diagnostic_v1_failed_source.png
798,visual_ltr_catalog_reverse,12,ra,ra,1.000000,0.000000,0.100000,0.000000,5,2,12,raw_unanimity_survives_duplicate_collapse_but_original_null_failed,fails_min_independence,unanimous,true,true,false,true,false,true,true,false,low_impostor_but_shape_null_fails,fewer_than_3_unique_cisis;shape_null_above_0_01,M-381|M-1320,tmp/002_y_branch_gap_blind_packet/source_crops/BG010_source_crop.png|tmp/source_box_negative_control_v2/panel_crops/M-381_cisi_india_n129_plate_label_free_panel_enhanced_x2.jpg|tmp/effective_unicity_directionality_blind_packet/source_crops/M_1320_A_signband_source.png|tmp/effective_unicity_directionality_blind_packet/source_crops/M_1320_a_signband_source.png|tmp/effective_unicity_directionality_blind_packet/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1320_a_diagnostic_v1_failed_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1320_A_diagnostic_v1_failed_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_1320_A_diagnostic_v1_failed_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1320_A_diagnostic_v1_failed_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_381_panel_existing_stress_negative_source.png
740,visual_ltr_catalog_order,26,ra,ra,0.555556,0.000000,0.141538,0.074000,14,9,26,raw_not_unanimous,passes_min_independence,not_unanimous,true,true,false,false,true,false,true,false,low_impostor_but_shape_and_label_nulls_fail,not_unanimous_after_duplicate_collapse;shape_null_above_0_01;label_null_above_0_01,M-28|M-653|M-381|H-449|M-1273|H-654|M-1310|M-527|H-158,tmp/002_y_branch_gap_blind_packet/source_crops/BG007_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG008_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG010_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG013_source_crop.png|tmp/032_002_861_suffix_split/M1273_impression_a_cisi_pakistan_n195.png|tmp/source_box_negative_control_v2/panel_crops/M-381_cisi_india_n129_plate_label_free_panel_enhanced_x2.jpg|tmp/effective_unicity_directionality_blind_packet/source_crops/H_654_A_signband_source.png|tmp/effective_unicity_directionality_blind_packet/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1310_A_recut_signband_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_527_cisi_india_n167_label_masked_context_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1310_a_recut_signband_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/H_654_A_recut_signband_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/H_158_cisi_india_n237_label_masked_context_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/H_158_cisi_india_n237_label_masked_context_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_1310_A_recut_signband_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_527_cisi_india_n167_label_masked_context_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/H_654_A_recut_signband_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/H_654_A_recut_signband_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1310_A_recut_signband_source.png
861,visual_ltr_catalog_order,9,ra,ra,0.400000,0.000000,0.145556,0.074000,6,5,9,raw_not_unanimous,passes_min_independence,not_unanimous,true,true,false,false,true,false,true,false,low_impostor_but_shape_and_label_nulls_fail,not_unanimous_after_duplicate_collapse;shape_null_above_0_01;label_null_above_0_01,M-28|M-653|M-240|M-77|M-1273,tmp/002_y_branch_gap_blind_packet/source_crops/BG007_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG008_source_crop.png|tmp/032_002_branch_tail_source_acquisition/M240_impression_a_signband_from_cisi_india_n095.png|tmp/m77_parpola_recurrence_gate/derived/M77_impression_a_signband_strict_from_cisi_india_n68.png|tmp/032_002_861_suffix_split/M1273_impression_a_cisi_pakistan_n195.png|tmp/effective_unicity_directionality_blind_packet/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1273_impression_a_existing_hard_negative_source.png
861,visual_ltr_catalog_reverse,9,a,a,0.400000,0.000000,0.151667,0.078000,6,5,9,raw_not_unanimous,passes_min_independence,not_unanimous,true,true,false,false,true,false,true,false,low_impostor_but_shape_and_label_nulls_fail,not_unanimous_after_duplicate_collapse;shape_null_above_0_01;label_null_above_0_01,M-28|M-653|M-240|M-77|M-1273,tmp/002_y_branch_gap_blind_packet/source_crops/BG007_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG008_source_crop.png|tmp/032_002_branch_tail_source_acquisition/M240_impression_a_signband_from_cisi_india_n095.png|tmp/m77_parpola_recurrence_gate/derived/M77_impression_a_signband_strict_from_cisi_india_n68.png|tmp/032_002_861_suffix_split/M1273_impression_a_cisi_pakistan_n195.png|tmp/effective_unicity_directionality_blind_packet/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1273_impression_a_existing_hard_negative_source.png
002,visual_ltr_catalog_order,23,ra,ra,0.454545,0.000000,0.196304,0.024000,15,11,23,raw_not_unanimous,passes_min_independence,not_unanimous,true,true,false,false,true,false,true,false,low_impostor_but_shape_and_label_nulls_fail,not_unanimous_after_duplicate_collapse;shape_null_above_0_01;label_null_above_0_01,M-318|M-311|M-28|M-653|M-381|M-32|M-17|M-70|M-240|M-77|M-1273,tmp/002_y_branch_gap_blind_packet/source_crops/BG002_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG006_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG007_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG008_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG010_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG011_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG012_source_crop.png|tmp/032_002_branch_tail_source_acquisition/M70_face_A_signband_from_cisi_india_n066.png|tmp/032_002_branch_tail_source_acquisition/M70_impression_a_signband_from_cisi_india_n066.png|tmp/032_002_branch_tail_source_acquisition/M240_impression_a_signband_from_cisi_india_n095.png|tmp/m77_parpola_recurrence_gate/derived/M77_impression_a_signband_strict_from_cisi_india_n68.png|tmp/m315_second_slot_controls/derived/expanded_first3_context_crops/M-17_impression_a_390-016-002_control_good_control.png|tmp/m315_second_slot_controls/derived/expanded_first3_context_crops/M-32_impression_a_390-003-002_control_good_control.png|tmp/032_002_861_suffix_split/M1273_impression_a_cisi_pakistan_n195.png|tmp/source_box_negative_control_v2/panel_crops/M-381_cisi_india_n129_plate_label_free_panel_enhanced_x2.jpg|tmp/effective_unicity_directionality_blind_packet/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_381_panel_existing_stress_negative_source.png
740,visual_ltr_catalog_reverse,26,ra,ra,0.555556,0.000000,0.197500,0.074000,14,9,26,raw_not_unanimous,passes_min_independence,not_unanimous,true,true,false,false,true,false,true,false,low_impostor_but_shape_and_label_nulls_fail,not_unanimous_after_duplicate_collapse;shape_null_above_0_01;label_null_above_0_01,M-28|M-653|M-381|H-449|M-1273|H-654|M-1310|M-527|H-158,tmp/002_y_branch_gap_blind_packet/source_crops/BG007_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG008_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG010_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG013_source_crop.png|tmp/032_002_861_suffix_split/M1273_impression_a_cisi_pakistan_n195.png|tmp/source_box_negative_control_v2/panel_crops/M-381_cisi_india_n129_plate_label_free_panel_enhanced_x2.jpg|tmp/effective_unicity_directionality_blind_packet/source_crops/H_654_A_signband_source.png|tmp/effective_unicity_directionality_blind_packet/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1310_A_recut_signband_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_527_cisi_india_n167_label_masked_context_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1310_a_recut_signband_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/H_654_A_recut_signband_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/H_158_cisi_india_n237_label_masked_context_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/H_158_cisi_india_n237_label_masked_context_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_1310_A_recut_signband_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_527_cisi_india_n167_label_masked_context_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/H_654_A_recut_signband_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/H_654_A_recut_signband_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1310_A_recut_signband_source.png
231,visual_ltr_catalog_order,6,ta,ta,1.000000,0.000000,0.255000,1.000000,2,1,6,raw_not_unanimous,fails_min_independence,not_unanimous,true,true,false,false,false,false,true,false,low_impostor_but_shape_and_label_nulls_fail,fewer_than_3_unique_token_hashes;fewer_than_3_unique_cisis;not_unanimous_after_duplicate_collapse;shape_null_above_0_01;label_null_above_0_01,M-1320,tmp/effective_unicity_directionality_blind_packet/source_crops/M_1320_A_signband_source.png|tmp/effective_unicity_directionality_blind_packet/source_crops/M_1320_a_signband_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1320_a_diagnostic_v1_failed_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1320_A_diagnostic_v1_failed_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_1320_A_diagnostic_v1_failed_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1320_A_diagnostic_v1_failed_source.png
002,visual_ltr_catalog_reverse,23,sya,ra,0.454545,0.000000,0.274348,1.000000,15,11,23,raw_not_unanimous,passes_min_independence,not_unanimous,false,true,false,false,true,false,false,false,low_impostor_but_shape_and_label_nulls_fail,not_unanimous_after_duplicate_collapse;modal_label_changes_after_collapse;shape_null_above_0_01;label_null_above_0_01,M-318|M-311|M-28|M-653|M-381|M-32|M-17|M-70|M-240|M-77|M-1273,tmp/002_y_branch_gap_blind_packet/source_crops/BG002_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG006_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG007_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG008_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG010_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG011_source_crop.png|tmp/002_y_branch_gap_blind_packet/source_crops/BG012_source_crop.png|tmp/032_002_branch_tail_source_acquisition/M70_face_A_signband_from_cisi_india_n066.png|tmp/032_002_branch_tail_source_acquisition/M70_impression_a_signband_from_cisi_india_n066.png|tmp/032_002_branch_tail_source_acquisition/M240_impression_a_signband_from_cisi_india_n095.png|tmp/m77_parpola_recurrence_gate/derived/M77_impression_a_signband_strict_from_cisi_india_n68.png|tmp/m315_second_slot_controls/derived/expanded_first3_context_crops/M-17_impression_a_390-016-002_control_good_control.png|tmp/m315_second_slot_controls/derived/expanded_first3_context_crops/M-32_impression_a_390-003-002_control_good_control.png|tmp/032_002_861_suffix_split/M1273_impression_a_cisi_pakistan_n195.png|tmp/source_box_negative_control_v2/panel_crops/M-381_cisi_india_n129_plate_label_free_panel_enhanced_x2.jpg|tmp/effective_unicity_directionality_blind_packet/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_381_panel_existing_stress_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_381_panel_existing_stress_negative_source.png
603,visual_ltr_catalog_reverse,6,i,ra,0.500000,0.000000,0.285833,1.000000,3,2,6,raw_not_unanimous,fails_min_independence,not_unanimous,false,true,false,false,false,false,false,false,low_impostor_but_shape_and_label_nulls_fail,fewer_than_3_unique_cisis;not_unanimous_after_duplicate_collapse;modal_label_changes_after_collapse;shape_null_above_0_01;label_null_above_0_01,M-240|M-1273,tmp/032_002_branch_tail_source_acquisition/M240_impression_a_signband_from_cisi_india_n095.png|tmp/032_002_861_suffix_split/M1273_impression_a_cisi_pakistan_n195.png|tmp/effective_unicity_directionality_blind_packet/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2b/source_crops/M_1273_impression_a_existing_hard_negative_source.png|tmp/effective_unicity_directionality_blind_packet_v2c/source_crops/M_1273_impression_a_existing_hard_negative_source.png
