fetch_id,query_id,query_text,url,page,http_status,byte_length,sha256,error
fetch_fba2801e1b3d16d0,mn_f36f42ba8336175a,eme-bal me-luh-ha,https://cdli.earth/search?atf_transliteration=eme-bal%20me-luh-ha&format=json&limit=100&page=1,1,200,3936,dec082aa023d93e2dde336f54bac79965f73b5ed3617d368a9583839e58612ff,
fetch_212ef52e49c7c85e,mn_fa929cf2439868d1,eme-bal me-luh-ha{ki},https://cdli.earth/search?atf_transliteration=eme-bal%20me-luh-ha%7Bki%7D&format=json&limit=100&page=1,1,200,3936,dec082aa023d93e2dde336f54bac79965f73b5ed3617d368a9583839e58612ff,
fetch_117615756e9ebdf0,mn_ee5da5a9f27514d4,szu-i3-li2-su,https://cdli.earth/search?atf_transliteration=szu-i3-li2-su&format=json&limit=100&page=1,1,200,2185560,7beff9273a607a52c7dcfd285f0d0028b236b837da4223f415aff1c56e83c011,
fetch_de26b0e86bc7600b,mn_ee5da5a9f27514d4,szu-i3-li2-su,https://cdli.earth/search?atf_transliteration=szu-i3-li2-su&format=json&limit=100&page=2,2,200,613128,be74e7fbf0f75560c1c6cc83467cecab114b48441dcfc007bf13b474ac50be83,
fetch_50ce626dd2660427,mn_ee5da5a9f27514d4,szu-i3-li2-su,https://cdli.earth/search?atf_transliteration=szu-i3-li2-su&format=json&limit=100&page=3,3,200,163117,052b4ce826f234b938253b030b94a5066eaed9660b97a1dc4343adcf687483a3,
fetch_2d1d741263fd64c3,mn_a4712307fc011123,a-li-a-hi,https://cdli.earth/search?atf_transliteration=a-li-a-hi&format=json&limit=100&page=1,1,200,84436,708c1a6c136c9f93eab90d0a604d23b6a915167372a8c964c12f633dfbf2077b,
fetch_6c08de3a267275c8,mn_f978140475ce833c,a-li-a-hi dam-a-ni,https://cdli.earth/search?atf_transliteration=a-li-a-hi%20dam-a-ni&format=json&limit=100&page=1,1,200,9668,9f31d16426d1dae15e5b554808515003b9fba168bf033dd6cf1ee52fe51b7524,
fetch_9fda65b4dd70bf35,mn_b66c600e7368d16b,a-ru-a lugal,https://cdli.earth/search?atf_transliteration=a-ru-a%20lugal&format=json&limit=100&page=1,1,200,4240680,3e4c85822e795be04b9acd31bdfacda6fa480e354d6063bf93d727aadc567cce,
fetch_4e6208cf19926b31,mn_b66c600e7368d16b,a-ru-a lugal,https://cdli.earth/search?atf_transliteration=a-ru-a%20lugal&format=json&limit=100&page=2,2,200,53316,9e275b94f22994d466999550b940fd727bb31925637e3ca99055a7ccb5faec72,
fetch_0520d18a11dad76d,mn_c7cf2f4e1ad2107b,i3-ba lu2 me-luh-ha,https://cdli.earth/search?atf_transliteration=i3-ba%20lu2%20me-luh-ha&format=json&limit=100&page=1,1,200,9668,9f31d16426d1dae15e5b554808515003b9fba168bf033dd6cf1ee52fe51b7524,
