id,cisi,region,site,type,material,shape,symbol,text_length,text
147.1,-,Persian Gulf,Failaka,SEAL:C,NA,circular,Gaur,4,+317-817-000-090+
148.1,-,Persian Gulf,Failaka,SEAL:C,NA,circular,NA,4+?,]090-001-350-716+
5551.1,-,Persian Gulf,Kalba,SEAL:C,NA,NA,NA,1,+091+
2153.1,-,Iranian Plateau,Luristan,SEAL:C,NA,circular,Gaur,4,+831-413-840-091+
3863.1,-,Persian Gulf,Qala'at al-Bahrain,SEAL:C,Steatite,circular,Gaur,5,+160-090-055-060-190+
3881.1,-,Iranian Plateau,Susa,SEAL:C,NA,circular,Gaur,6,+700-604-407-090-365-000+
3899.1,-,Mesopotamia,Ur,SEAL:C,NA,circular,Gaur,5,+000-000-004-090-350+
5225.1,-,Mesopotamia,Ur,SEAL:C,NA,circular,NA,5+?,]000-001-000-090-000[
5227.1,-,Persian Gulf,Karzakan,SEAL:C,NA,circular,Gaur,4,+220-455-031-091+
5228.1,-,Persian Gulf,Karzakan,SEAL:C,NA,circular,Gaur,4,+033-001-032-091+
5229.1,-,Persian Gulf,Saar,SEAL:C,NA,circular,NA,6,+031-093-001-091-220-055+
5231.1,-,Mesopotamia,Ur,SEAL:C,NA,NA,NA,2+?,]405-090[
