removed_kind,removed_group,removed_total,removed_route_090091,kept_total,kept_route_090091,kept_route_share,kept_sealc_total,kept_sealc_route_090091,kept_sealc_route_share,type_matched_route_fpr,sealc_route_fpr
site,Failaka,2,2,37,10,0.270270,15,10,0.666667,0.03264,0.00252
site,Ur,5,3,34,9,0.264706,12,9,0.750000,0.02868,0.00148
site,Karzakan,3,2,36,10,0.277778,14,10,0.714286,0.02004,0.00116
site,Saar,1,1,38,11,0.289474,16,11,0.687500,0.01756,0.0014
site,Qala'at al-Bahrain,1,1,38,11,0.289474,16,11,0.687500,0.0174,0.00148
site,Kalba,1,1,38,11,0.289474,16,11,0.687500,0.01724,0.00092
site,Luristan,1,1,38,11,0.289474,16,11,0.687500,0.01688,0.00088
site,Susa,2,1,37,11,0.297297,16,11,0.687500,0.0116,0.00092
site,Nippur,1,0,38,12,0.315789,17,12,0.705882,0.00884,0.00048
site,Tepe Yahya,1,0,38,12,0.315789,17,12,0.705882,0.00884,0.00044
site,Gonur Depe,1,0,38,12,0.315789,17,12,0.705882,0.00804,0.00036
site,Sibri,1,0,38,12,0.315789,17,12,0.705882,0.00804,0.0004
site,Shortughai,1,0,38,12,0.315789,17,12,0.705882,0.00768,0.00028
site,Nindowari-damb,2,0,37,12,0.324324,17,12,0.705882,0.0076,0.00044
site,Ornach area,1,0,38,12,0.315789,17,12,0.705882,0.00756,0.00056
site,Tello,1,0,38,12,0.315789,17,12,0.705882,0.0072,0.00032
site,Altyn Depe,1,0,38,12,0.315789,17,12,0.705882,0.00716,0.00036
site,Salut,2,0,37,12,0.324324,17,12,0.705882,0.00716,0.0004
site,Kish,2,0,37,12,0.324324,17,12,0.705882,0.00684,0.00024
site,Ra's al-Junayz,3,0,36,12,0.333333,17,12,0.705882,0.00672,0.00028
site,Miri Qalat,2,0,37,12,0.324324,17,12,0.705882,0.00672,0.00044
site,Hajar,1,0,38,12,0.315789,17,12,0.705882,0.00668,0.00036
site,Tell Umma,1,0,38,12,0.315789,17,12,0.705882,0.00552,0.0004
site,Girsu,1,0,38,12,0.315789,16,12,0.750000,0.00544,0.00016
site,Janabiyah,1,0,38,12,0.315789,16,12,0.750000,0.0054,0.00028
