auto_id,ngram,token_count,lead_class_guess,context_count,same_line_context_count,adjacent_context_count,artifact_count,artifact_ps,example_artifact_p,example_line,example_previous_line,example_following_line
auto_0e31aba1baa1d0c6,lu2-sun2-zi-da,1,title_role,16,15,1,15,P100284|P101445|P123295|P123439|P123440|P123507|P123621|P125864|P201332|P212982|P248901|P390252|P391626|P407695|P469955,P100284,1(disz) sila4 lu2-sun2-zi#-da#,5. dingir-su-ra-bi2,7. 2(disz) amar masz-da3 hu-un-ha-ab-ur
auto_7bbf766781b17594,dumu,1,onomastic_or_patronymic,13,8,5,10,P100892|P102519|P108448|P112283|P123177|P124739|P135727|P136196|P212982|P378169,P100892,i3-dub me-luh-ha-ta,13. sze-ba du3-a-ku5-e-ne,15. ki ur-{d}ba-ba6 dumu ba-zi-ta
auto_3db99a7b298e23eb,i3-dub,1,unclassified_context,11,10,1,10,P100892|P102031|P108484|P110574|P116633|P116735|P116995|P123010|P132876|P218242,P100892,i3-dub me-luh-ha-ta,13. sze-ba du3-a-ku5-e-ne,15. ki ur-{d}ba-ba6 dumu ba-zi-ta
auto_b00200c11b4ffe16,(disz),1,unclassified_context,10,10,0,10,P100284|P101445|P107404|P112283|P123439|P136689|P248901|P390252|P391626|P469955,P100284,1(disz) sila4 lu2-sun2-zi#-da#,5. dingir-su-ra-bi2,7. 2(disz) amar masz-da3 hu-un-ha-ab-ur
auto_8219577d8a9d1263,sila4,1,unclassified_context,14,4,10,8,P100284|P101445|P123295|P123439|P123507|P201332|P248901|P390252,P100284,1(disz) sila4 lu2-sun2-zi#-da#,5. dingir-su-ra-bi2,7. 2(disz) amar masz-da3 hu-un-ha-ab-ur
auto_40accbf068311abb,lugal,1,unclassified_context,8,0,8,8,P108448|P226318|P235705|P432309|P453801|P469516|P516138|P516366,P108448,mu ur-{d}lamma dumu me-luh-ha-sze3,2. kiszib3 ur-e2-ninnu dumu du-du,4. mu amar-{d}suen lugal
auto_8bcac5dabf062198,kur,1,unclassified_context,8,8,0,7,P232275|P251861|P346086|P431884|P469514|P469516|P469679,P232275,kur me-luh-ha-ta,38. ku3-sig17 sahar-ba,40. im-ta-e11
auto_2eba20c5cd2ef542,sila3,1,unclassified_context,9,0,9,6,P132876|P212842|P407695|P453801|P516138|P516366,P132876,si-i3-tum i3-dub me-luh-ha,1. 1(u) 1(asz) 3(barig) 3(ban2) 5(disz) sila3 sze gur,3. ki ur-{d}isztaran-ta <<a>>
auto_c4311176fe680293,ma2,1,ship_labor,8,6,2,6,P212842|P217502|P227509|P326408|P382354|P461937,P212842,lu2-tukul ma2 me-luh-ha-ka,2. da-di3,4. 1(asz@c) i3 sila3 i-nu-sa-du2
auto_53f8ba546f9a98cf,lu2,1,title_role,7,6,1,6,P212982|P453801|P454137|P469679|P516138|P516366,P212982,lu2-sun2-zi-da,4. dumu amar-lu2-ku,6. lu2 me-luh-ha-ke4
