query_id,query_text,lead_label,query_role,artifact_p,artifact_id,designation,museum_no,provenience,period,dates_referenced,query_line_count,meluhha_line_count,min_query_to_meluhha_distance,has_meluhha_anywhere,query_line_same_as_meluhha,query_line_adjacent_to_meluhha,inscription_hash,source_url,query_lines,meluhha_lines
mn_f36f42ba8336175a,eme-bal me-luh-ha,Shu-ilishu interpreter seal,diagnostic,P525331,525331,CDLI seals 014339 (physical),AO 22310,,Ur III,,1,1,0,true,true,true,406698e62ad0cce5d127f6ba8a88fbef2082bf37776ec09edd84a51ed334691c,https://cdli.earth/P525331,2. eme-bal me-luh-ha{ki},2. eme-bal me-luh-ha{ki}
mn_fa929cf2439868d1,eme-bal me-luh-ha{ki},Shu-ilishu interpreter seal,diagnostic,P525331,525331,CDLI seals 014339 (physical),AO 22310,,Ur III,,1,1,0,true,true,true,406698e62ad0cce5d127f6ba8a88fbef2082bf37776ec09edd84a51ed334691c,https://cdli.earth/P525331,2. eme-bal me-luh-ha{ki},2. eme-bal me-luh-ha{ki}
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P105667,105667,"BE 03/1, 115",CBS 11205,"{""id"":154,""provenience"":""Umma (mod. Tell Jokha)"",""location_id"":238,""place_id"":71,""region_id"":8}",Ur III,Šulgi.31.09.00,1,0,,false,false,false,8e249b3581982fcbbdf0647e2300265ae4c33a0ae09d5873db50039373ad4031,https://cdli.earth/P105667,4. szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P107777,107777,CST (JRL) 263,JRL 0263,"{""id"":160,""provenience"":""Puzriš-Dagan (mod. Drehem)"",""location_id"":126,""place_id"":47,""region_id"":8}",Ur III,"Amar-Suen.03.01.00, Amar-Suen.03.12d.00 (intercalated) (Reichskalender)",1,0,,false,false,false,0b096d909c8ce6c246830f859f084fadafbd0e2bb7f046451351939639aa2094,https://cdli.earth/P107777,18. 2(barig) 5(ban2) szu-i3-li2-su engar,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P141787,141787,"UTI 6, 3790",Ist Um 3790,"{""id"":154,""provenience"":""Umma (mod. Tell Jokha)"",""location_id"":238,""place_id"":71,""region_id"":8}",Ur III,--.00.00.00,1,0,,false,false,false,7b60dd32bec47be8350785016c1f7475c9cc6cf2afc79049e194ba001893b84f,https://cdli.earth/P141787,4. 1(asz) szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P212426,212426,"MAD 5, 116",Ashm 1969-0564,"{""id"":184,""provenience"":""Kish (mod. Tell Uhaimir)""}",Old Akkadian,,2,0,,false,false,false,f8258dd577167f2b8a6dbdf3ab6c8dbf887aa7293f18ef27c12c555fb7e03179,https://cdli.earth/P212426,2. dumu szu-i3-li2-su ku3#?-gal2 | 3. 1(asz@c) szu-i3-li2-su#?,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P212927,212927,CST (JRL) 002,JRL 0002,,Old Akkadian,,0,0,,false,false,false,85c0aef5258b168e479ccd80b7c999b3be9f7a5df7dd443b21b3f16466c136dc,https://cdli.earth/P212927,,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P212930,212930,CST (JRL) 005,JRL 0005,,Old Akkadian,,2,0,,false,false,false,f6350283ff4f89a1d8a107aa64d05db6d8fd1e26a5327dadd6db8a0b381b602f,https://cdli.earth/P212930,10. 1(ban2@c)# kasz 3(ban2@c) szu-i3-li2-su | 14. 1(ban2@c) kasz 5(ban2@c) szu-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P212964,212964,"CT 50, 058",BM 123070,"{""id"":154,""provenience"":""Umma (mod. Tell Jokha)"",""location_id"":238,""place_id"":71,""region_id"":8}",Old Akkadian,,1,0,,false,false,false,0039b67e247b9d8594d86ac8dccc2e08dc8d34d615e1f29893b5c19089fc0e7a,https://cdli.earth/P212964,2. n 1(ban2@c) kasz 4(ban2@c) szu#-i3-li2-su,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P212965,212965,"CT 50, 059",BM 123071,"{""id"":154,""provenience"":""Umma (mod. Tell Jokha)"",""location_id"":238,""place_id"":71,""region_id"":8}",Old Akkadian,,2,0,,false,false,false,6b4087690a23a2f7375fe4ab3a765c1a0360e4e9bb8810aced0d944fa39ba93f,https://cdli.earth/P212965,4. 1(ban2@c) kasz 5(ban2@c) szu-i3-li2-su | 3'. lu2 szu-i3-li2#-su#,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213004,213004,"CT 50, 098",BM 086281,"{""id"":88,""provenience"":""Girsu (mod. Tello)"",""location_id"":160,""place_id"":56,""region_id"":8}",Old Akkadian,,1,0,,false,false,false,3fdd6d9454e69bc11bb727924344bcdb818b7edd3e256af99eaa1bf113b66e83,https://cdli.earth/P213004,20. 1(asz@c) szu-i3-li2-su#,
mn_ee5da5a9f27514d4,szu-i3-li2-su,Shu-ilishu interpreter seal,matched_negative,P213177,213177,DPA 49,PULiège 0043,"{""id"":88,""provenience"":""Girsu (mod. Tello)"",""location_id"":160,""place_id"":56,""region_id"":8}",Old Akkadian,,1,0,,false,false,false,0b7ae73bc924e2cd1acff4c12a1888881daf23e66d44f37190d76195f5c5c862,https://cdli.earth/P213177,2. a-na szu-i3-li2-su,
