sign_id,branch_role,orientation_policy,sample_count,modal_brahmi_label,v3_cisi_modal_label,v3_cisi_modal_share,original_shape_null_share,original_label_null_share,impostor_ge_observed_share,gate_decision,blocked_reason,ra_like_modal
390,frame_head,visual_ltr_catalog_reverse,10,dha,ra,0.500000,0.275000,0.084000,0.473000,failed_real_token_impostor_forger,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate,true
390,frame_head,visual_ltr_catalog_order,10,ra,ra,0.500000,0.146500,0.004000,0.411000,failed_real_token_impostor_forger,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate,true
590,open_continue_branch,visual_ltr_catalog_order,7,ra,ra,0.666667,0.267143,0.047000,0.726000,failed_real_token_impostor_forger,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate,true
590,open_continue_branch,visual_ltr_catalog_reverse,7,ra,ra,0.666667,0.300714,0.119000,0.139000,failed_real_token_impostor_forger,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate,true
692,close_terminal_branch,visual_ltr_catalog_reverse,4,ja,ra,0.500000,0.420000,1.000000,0.560000,failed_real_token_impostor_forger,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate,true
692,close_terminal_branch,visual_ltr_catalog_order,4,ra,ṭha,0.500000,0.365000,1.000000,0.377000,failed_real_token_impostor_forger,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate,true
