sign_id,orientation_policy,raw_sample_count,unique_sha256_count,unique_cisi_count,raw_modal_label,raw_modal_count,raw_modal_share,sha_modal_label,sha_modal_count,sha_modal_share,cisi_modal_label,cisi_modal_count,cisi_modal_share,original_shape_null_share,original_label_null_share,original_gate_decision,duplicate_collapse_status,cisis,token_ids
016,visual_ltr_catalog_order,2,1,1,ba,2,1.000000,ba,1,1.000000,ba,1,1.000000,0.050000,1.000000,failed_shape_or_label_null,raw_unanimity_collapses_below_two_unique_hashes,M-17,tok_210ae8fbf89957a6|tok_00f7d86ad2c20693
016,visual_ltr_catalog_reverse,2,1,1,ra,2,1.000000,ra,1,1.000000,ra,1,1.000000,0.052500,1.000000,failed_shape_or_label_null,raw_unanimity_collapses_below_two_unique_hashes,M-17,tok_775f183f81226dc3|tok_7a4fc6bb0daba702
033,visual_ltr_catalog_order,2,1,1,vya,2,1.000000,vya,1,1.000000,vya,1,1.000000,0.162500,1.000000,failed_shape_or_label_null,raw_unanimity_collapses_below_two_unique_hashes,M-527,tok_c9f2230e1f819710|tok_d73cb817b7185382
033,visual_ltr_catalog_reverse,2,1,1,ra,2,1.000000,ra,1,1.000000,ra,1,1.000000,0.085000,1.000000,failed_shape_or_label_null,raw_unanimity_collapses_below_two_unique_hashes,M-527,tok_6e5f213c035d6f83|tok_1d7734710d7eae4f
060,visual_ltr_catalog_order,2,1,1,ra,2,1.000000,ra,1,1.000000,ra,1,1.000000,0.080000,1.000000,failed_shape_or_label_null,raw_unanimity_collapses_below_two_unique_hashes,H-665,tok_0f698d8de79842e8|tok_92c6b9f167ca107c
060,visual_ltr_catalog_reverse,2,1,1,ka,2,1.000000,ka,1,1.000000,ka,1,1.000000,0.040000,1.000000,failed_shape_or_label_null,raw_unanimity_collapses_below_two_unique_hashes,H-665,tok_d24a0bf40fd3a547|tok_e589cf2d6a5036be
472,visual_ltr_catalog_order,2,1,1,ra,2,1.000000,ra,1,1.000000,ra,1,1.000000,0.117500,1.000000,failed_shape_or_label_null,raw_unanimity_collapses_below_two_unique_hashes,H-158,tok_e7be28a88c2e9ab3|tok_28e6e5562ff28f88
472,visual_ltr_catalog_reverse,2,1,1,ra,2,1.000000,ra,1,1.000000,ra,1,1.000000,0.040000,1.000000,failed_shape_or_label_null,raw_unanimity_collapses_below_two_unique_hashes,H-158,tok_611e705e3b0cf406|tok_b3b6ea9005477f74
560,visual_ltr_catalog_order,2,1,1,dha,2,1.000000,dha,1,1.000000,dha,1,1.000000,0.117500,1.000000,failed_shape_or_label_null,raw_unanimity_collapses_below_two_unique_hashes,M-17,tok_740b33754305c815|tok_542d9d9dca7b10bf
560,visual_ltr_catalog_reverse,2,1,1,ra,2,1.000000,ra,1,1.000000,ra,1,1.000000,0.112500,1.000000,failed_shape_or_label_null,raw_unanimity_collapses_below_two_unique_hashes,M-17,tok_f2b3c27fe524c022|tok_603fe41c2bba5375
706,visual_ltr_catalog_order,2,1,1,ra,2,1.000000,ra,1,1.000000,ra,1,1.000000,0.075000,1.000000,failed_shape_or_label_null,raw_unanimity_collapses_below_two_unique_hashes,M-527,tok_37b124618a990952|tok_231e8e378de89766
706,visual_ltr_catalog_reverse,2,1,1,ra,2,1.000000,ra,1,1.000000,ra,1,1.000000,0.165000,1.000000,failed_shape_or_label_null,raw_unanimity_collapses_below_two_unique_hashes,M-527,tok_0b21e1a3f19a9870|tok_a824d3b76e6a0fed
814,visual_ltr_catalog_order,2,1,1,ra,2,1.000000,ra,1,1.000000,ra,1,1.000000,0.060000,1.000000,failed_shape_or_label_null,raw_unanimity_collapses_below_two_unique_hashes,M-17,tok_6ecb02f557abd464|tok_509f5ed0afe14fb2
814,visual_ltr_catalog_reverse,2,1,1,ba,2,1.000000,ba,1,1.000000,ba,1,1.000000,0.070000,1.000000,failed_shape_or_label_null,raw_unanimity_collapses_below_two_unique_hashes,M-17,tok_6526b8eaceb88131|tok_64ebb894c3474d62
