manuscript_id,name,date,place,language,dynasty,details_url,table_url
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211
370,Aśoka MRE Brahmagiri,-256,Brahmagiri,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/370,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/370
388,Aśoka MRE Maski,-256,Maski,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/388,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/388
621,"Aśoka, Calcutta-Bairāṭ Rock Inscription",-256,Bairat,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/621,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/621
622,Aśoka MRE Siddapur,-256,Siddapura,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/622,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/622
630,Aśoka MRE Ahraurā,-256,Ahraura,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/630,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/630
798,Aśoka MRE Rūpnāth,-256,Rupnath,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/798,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/798
156,"Aśoka, Barabar Hill  Cave-Inscriptions, 2",-254,Barabar hill,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/156,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/156
450,"Aśoka, Barabar Hill  Cave-Inscriptions, 1",-254,Barabar hill,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/450,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/450
187,"Aśoka, RE 8-9 Sopārā",-252,Sopara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/187,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/187
292,"Aśoka, RE 10-14 Kālsī",-252,Kalsi,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/292,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/292
411,"Aśoka, RE Girnār",-252,Girnar,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/411,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/411
423,"Aśoka, RE Jaugaḍa",-252,Jaugada,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/423,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/423
623,"Aśoka, RE 1-9 Kālsī",-252,Kalsi,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/623,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/623
780,"Aśoka, RE Dhaulī",-252,Dhauli,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/780,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/780
237,"Aśoka, RE 12+14 Sannati",-250,Sannati,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/237,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/237
264,"Aśoka, SepE-1 Jaugaḍa",-250,Jaugada,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/264,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/264
391,"Aśoka, Lumbini pillar",-250,Lumbini,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/391,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/391
562,"Aśoka, Nigali Sagar pillar inscription",-250,Nigliva,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/562,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/562
603,"Aśoka, SepE-1 Dhauli",-250,Dhauli,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/603,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/603
613,"Aśoka, Jaugada, Sep. Ed. II",-250,Jaugada,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/613,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/613
742,"Aśoka, Sannati, Sep. Edikte I und II",-250,Sannati,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/742,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/742
90,"Aśoka, SepE-2 Dhauli",-250,Dhauli,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/90,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/90
15,"Aśoka, Kausambi Schismen-Edikt",-239,Kosam,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/15,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/15
153,"Aśoka, PE Lauriyā Nandangaṟh",-239,Lauriya Nandangarh,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/153,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/153
403,"Aśoka, PE Delhi-Mirath",-239,Mirath,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/403,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/403
418,"Aśoka, PE Lauriya-Araraj",-239,Lauriya Araraj,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/418,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/418
5,"Aśoka, PE 7 Delhi Topra",-239,Delhi (Topra),Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/5,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/5
616,"Aśoka, PE Rāmpūrvā",-239,Rampurva,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/616,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/616
632,"Aśoka, Sanci, PE",-239,Sanci,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/632,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/632
677,"Aśoka, PE Allahabad-Kosam",-239,Kosam,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/677,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/677
741,"Aśoka, Sarnath PE",-239,Sarnath,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/741,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/741
85,"Aśoka, PE 1-6 Delhi-Topra",-239,Delhi (Topra),Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/85,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/85
469,Aśoka Queen's Edict,-235,Kosam,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/469,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/469
