manuscript_id,name,date,place,language,dynasty,details_url,table_url,vocalization,letter_image_id,transliteration,variant_role,table_block_index,image_url
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,105229,a,primary,0,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/105229.png
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,137729,i,primary,2,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/137729.png
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,67887,e,primary,10,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/67887.png
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,163092,ca,primary,23,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/163092.png
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,143448,caṃ,variant_1,23,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/143448.png
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,100163,ṭa,primary,28,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/100163.png
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,77674,ṇa,primary,32,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/77674.png
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,155694,ta,primary,33,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/155694.png
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,98308,ta,variant_1,33,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/98308.png
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,128789,na,primary,37,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/128789.png
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,26218,pa,primary,38,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/26218.png
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,17347,ya,primary,43,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/17347.png
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,8271,va,primary,46,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/8271.png
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,57394,śa,primary,47,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/57394.png
211,Aśoka MRE Jatiṅga-Rameśvaram,-256,Jatinga-Ramesvara,Prakrit,Maurya,https://www.indoskript.phil.uni-wuerzburg.de/manuscripts/details/211,https://www.indoskript.phil.uni-wuerzburg.de/letters/table/211,a,91109,sa,primary,49,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/91109.png
