probe_id,probe_family,rank,distance,brahmi_transliteration,letter_image_id,manuscript_id,manuscript_name,date,place,image_url,local_image_path
indus_local220_M37_source_S009,local_220_source_actual,1,0.345068,kaṃ,63642,411,"Aśoka, RE Girnār",-252,Girnar,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/63642.png,data\brahmi\indoskript_letter_images\63642.png
indus_local220_M37_source_S009,local_220_source_actual,2,0.368968,tha,7282,292,"Aśoka, RE 10-14 Kālsī",-252,Kalsi,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/7282.png,data\brahmi\indoskript_letter_images\7282.png
indus_local220_M37_source_S009,local_220_source_actual,3,0.373087,ka,178625,156,"Aśoka, Barabar Hill  Cave-Inscriptions, 2",-254,Barabar hill,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/178625.png,data\brahmi\indoskript_letter_images\178625.png
indus_local220_M37_source_S009,local_220_source_actual,4,0.387189,ja,54817,292,"Aśoka, RE 10-14 Kālsī",-252,Kalsi,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/54817.png,data\brahmi\indoskript_letter_images\54817.png
indus_local220_M37_source_S009,local_220_source_actual,5,0.388128,kha,79871,292,"Aśoka, RE 10-14 Kālsī",-252,Kalsi,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/79871.png,data\brahmi\indoskript_letter_images\79871.png
indus_local220_M37_source_S009,local_220_source_actual,6,0.397100,dha,175948,388,Aśoka MRE Maski,-256,Maski,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/175948.png,data\brahmi\indoskript_letter_images\175948.png
indus_local220_M37_source_S009,local_220_source_actual,7,0.398767,vaṃ,129449,370,Aśoka MRE Brahmagiri,-256,Brahmagiri,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/129449.png,data\brahmi\indoskript_letter_images\129449.png
indus_local220_M37_source_S009,local_220_source_actual,8,0.399478,dha,97516,187,"Aśoka, RE 8-9 Sopārā",-252,Sopara,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/97516.png,data\brahmi\indoskript_letter_images\97516.png
indus_local220_M37_source_S009,local_220_source_actual,9,0.400612,a,108359,370,Aśoka MRE Brahmagiri,-256,Brahmagiri,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/108359.png,data\brahmi\indoskript_letter_images\108359.png
indus_local220_M37_source_S009,local_220_source_actual,10,0.405039,ma,131948,292,"Aśoka, RE 10-14 Kālsī",-252,Kalsi,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/131948.png,data\brahmi\indoskript_letter_images\131948.png
indus_local220_H938_source_S010,local_220_source_actual,1,0.525419,o,41186,411,"Aśoka, RE Girnār",-252,Girnar,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/41186.png,data\brahmi\indoskript_letter_images\41186.png
indus_local220_H938_source_S010,local_220_source_actual,2,0.537399,mya,126769,411,"Aśoka, RE Girnār",-252,Girnar,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/126769.png,data\brahmi\indoskript_letter_images\126769.png
indus_local220_H938_source_S010,local_220_source_actual,3,0.538899,na,159832,621,"Aśoka, Calcutta-Bairāṭ Rock Inscription",-256,Bairat,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/159832.png,data\brahmi\indoskript_letter_images\159832.png
indus_local220_H938_source_S010,local_220_source_actual,4,0.543834,mya,5475,411,"Aśoka, RE Girnār",-252,Girnar,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/5475.png,data\brahmi\indoskript_letter_images\5475.png
indus_local220_H938_source_S010,local_220_source_actual,5,0.545488,o,71483,411,"Aśoka, RE Girnār",-252,Girnar,https://www.indoskript.phil.uni-wuerzburg.de/img/letters/71483.png,data\brahmi\indoskript_letter_images\71483.png
