sign_id,orientation_policy,sample_count,modal_brahmi_label,v3_cisi_modal_label,impostor_ge_observed_share,original_shape_null_share,original_label_null_share,unique_sha256_count,unique_cisi_count,review_packet_eligible,fail_original_shape_null,fail_original_label_null,fail_v3_preflight,fail_min_independence,fail_duplicate_unanimity,fail_modal_label_stability,replacement_decision,blocked_reasons
002,visual_ltr_catalog_order,23,ra,ra,0.000000,0.196304,0.024000,15,11,false,true,true,true,false,true,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_duplicate_collapse_unanimity;not_accepted_in_v2_gate
002,visual_ltr_catalog_reverse,23,sya,ra,0.000000,0.274348,1.000000,15,11,false,true,true,true,false,true,true,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_duplicate_collapse_unanimity;modal_label_changes_after_collapse;not_accepted_in_v2_gate
231,visual_ltr_catalog_order,6,ta,ta,0.000000,0.255000,1.000000,2,1,false,true,true,true,true,true,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_minimum_independence;failed_duplicate_collapse_unanimity;not_accepted_in_v2_gate
231,visual_ltr_catalog_reverse,6,ta,ta,0.000000,0.290833,1.000000,2,1,false,true,true,true,true,true,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_minimum_independence;failed_duplicate_collapse_unanimity;not_accepted_in_v2_gate
240,visual_ltr_catalog_order,11,tha,ra,0.000000,0.465455,1.000000,6,4,false,true,true,true,false,true,true,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_duplicate_collapse_unanimity;modal_label_changes_after_collapse;not_accepted_in_v2_gate
527,visual_ltr_catalog_order,6,ra,ra,0.000000,0.035000,0.031000,2,1,false,true,true,true,true,false,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_minimum_independence;not_accepted_in_v2_gate
555,visual_ltr_catalog_order,6,e,e,0.000000,0.455000,1.000000,2,1,false,true,true,true,true,true,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_minimum_independence;failed_duplicate_collapse_unanimity;not_accepted_in_v2_gate
603,visual_ltr_catalog_reverse,6,i,ra,0.000000,0.285833,1.000000,3,2,false,true,true,true,true,true,true,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_minimum_independence;failed_duplicate_collapse_unanimity;modal_label_changes_after_collapse;not_accepted_in_v2_gate
740,visual_ltr_catalog_order,26,ra,ra,0.000000,0.141538,0.074000,14,9,false,true,true,true,false,true,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_duplicate_collapse_unanimity;not_accepted_in_v2_gate
740,visual_ltr_catalog_reverse,26,ra,ra,0.000000,0.197500,0.074000,14,9,false,true,true,true,false,true,false,blocked_before_review_no_anchor,original_shape_null_above_0_01;original_label_null_above_0_01;failed_v3_independence_preflight;failed_duplicate_collapse_unanimity;not_accepted_in_v2_gate
