family_id,iteration,observed_modal_count,null_modal_count,null_ge_observed
family_cecfb60b5ab600bf,0,12,10,False
family_cecfb60b5ab600bf,1,12,10,False
family_cecfb60b5ab600bf,2,12,10,False
family_cecfb60b5ab600bf,3,12,10,False
family_cecfb60b5ab600bf,4,12,10,False
family_cecfb60b5ab600bf,5,12,10,False
family_cecfb60b5ab600bf,6,12,10,False
family_cecfb60b5ab600bf,7,12,10,False
family_cecfb60b5ab600bf,8,12,10,False
family_cecfb60b5ab600bf,9,12,10,False
family_cecfb60b5ab600bf,10,12,10,False
family_cecfb60b5ab600bf,11,12,10,False
family_cecfb60b5ab600bf,12,12,10,False
family_cecfb60b5ab600bf,13,12,10,False
family_cecfb60b5ab600bf,14,12,10,False
family_cecfb60b5ab600bf,15,12,10,False
family_cecfb60b5ab600bf,16,12,10,False
family_cecfb60b5ab600bf,17,12,10,False
family_cecfb60b5ab600bf,18,12,10,False
family_cecfb60b5ab600bf,19,12,10,False
family_cecfb60b5ab600bf,20,12,10,False
family_cecfb60b5ab600bf,21,12,10,False
family_cecfb60b5ab600bf,22,12,10,False
family_cecfb60b5ab600bf,23,12,13,True
family_cecfb60b5ab600bf,24,12,11,False
family_cecfb60b5ab600bf,25,12,10,False
family_cecfb60b5ab600bf,26,12,13,True
family_cecfb60b5ab600bf,27,12,10,False
family_cecfb60b5ab600bf,28,12,10,False
family_cecfb60b5ab600bf,29,12,10,False
family_cecfb60b5ab600bf,30,12,10,False
family_cecfb60b5ab600bf,31,12,12,True
family_cecfb60b5ab600bf,32,12,10,False
family_cecfb60b5ab600bf,33,12,10,False
family_cecfb60b5ab600bf,34,12,10,False
family_cecfb60b5ab600bf,35,12,10,False
family_cecfb60b5ab600bf,36,12,10,False
family_cecfb60b5ab600bf,37,12,12,True
family_cecfb60b5ab600bf,38,12,10,False
family_cecfb60b5ab600bf,39,12,14,True
family_cecfb60b5ab600bf,40,12,10,False
family_cecfb60b5ab600bf,41,12,10,False
family_cecfb60b5ab600bf,42,12,10,False
family_cecfb60b5ab600bf,43,12,10,False
family_cecfb60b5ab600bf,44,12,10,False
family_cecfb60b5ab600bf,45,12,11,False
family_cecfb60b5ab600bf,46,12,10,False
family_cecfb60b5ab600bf,47,12,10,False
family_cecfb60b5ab600bf,48,12,10,False
