sign_id,orientation_policy,iteration,impostor_modal_label,impostor_modal_count,impostor_mean_modal_distance,impostor_ge_observed,sample_token_ids
740,visual_ltr_catalog_order,0,ra,6,0.209397,false,tok_d9819ce577422986|tok_2cbe657cd7b258cf|tok_d0b65846e90e30f4|tok_8556d2cd0b4ce26c|tok_71f7a3d109fe4387|tok_9f3194df275374db|tok_2bfefeec77b619fc|tok_6a264ada97f1af9c|tok_f9e363882655387e|tok_740b33754305c815|tok_68c15d0e7958e4cb|tok_bae6736d0dc36940|tok_f5226003cd1cb153|tok_3f819cd5a1d1bb2e|tok_6a696035417ed81e|tok_317f91e465a76357|tok_e12db96eaaf6f4ec|tok_14466b2e7cf2daf9|tok_c1858e3f23d1a914|tok_bc7caff9ec3cf7c3|tok_542d9d9dca7b10bf|tok_54e8f65818042846|tok_c3231ea0d4fee217|tok_fdb86aa4d7d44d95|tok_c1955e93f4423bf8|tok_e09d13a3f22e5dab
740,visual_ltr_catalog_order,1,ra,8,0.198156,false,tok_c1858e3f23d1a914|tok_dc07d5ed76abb711|tok_e09d13a3f22e5dab|tok_317f91e465a76357|tok_ffc8ba250fb4f22e|tok_e12db96eaaf6f4ec|tok_990fb5383d425b81|tok_bae6736d0dc36940|tok_8556d2cd0b4ce26c|tok_54e8f65818042846|tok_68c15d0e7958e4cb|tok_3c2fc092ce7482f4|tok_6a264ada97f1af9c|tok_3f819cd5a1d1bb2e|tok_3bbdf9f6032549ed|tok_33268e80607fed6e|tok_542d9d9dca7b10bf|tok_2cbe657cd7b258cf|tok_b8d29be98281b379|tok_2bfefeec77b619fc|tok_740b33754305c815|tok_f8c77237760a8c90|tok_c16db552e4955c84|tok_9f3194df275374db|tok_d9819ce577422986|tok_71f7a3d109fe4387
740,visual_ltr_catalog_order,2,ra,8,0.212122,false,tok_e09d13a3f22e5dab|tok_d9819ce577422986|tok_5890e22e4c13646c|tok_54e8f65818042846|tok_2a34dad78181bd15|tok_990fb5383d425b81|tok_bae6736d0dc36940|tok_9f3194df275374db|tok_265c9e52cfb53b4d|tok_71f7a3d109fe4387|tok_bc7caff9ec3cf7c3|tok_14466b2e7cf2daf9|tok_c3231ea0d4fee217|tok_dc07d5ed76abb711|tok_2bfefeec77b619fc|tok_404e91c1a3cf18d6|tok_3c2fc092ce7482f4|tok_c1955e93f4423bf8|tok_317f91e465a76357|tok_f9e363882655387e|tok_e12db96eaaf6f4ec|tok_270dcf3bb0b32241|tok_6b0e37fb2b0021f4|tok_d0b65846e90e30f4|tok_33268e80607fed6e|tok_b8d29be98281b379
740,visual_ltr_catalog_order,3,ra,6,0.177304,false,tok_9f3194df275374db|tok_fdb86aa4d7d44d95|tok_f8c77237760a8c90|tok_317f91e465a76357|tok_740b33754305c815|tok_c1858e3f23d1a914|tok_2bfefeec77b619fc|tok_bae6736d0dc36940|tok_990fb5383d425b81|tok_14466b2e7cf2daf9|tok_c1955e93f4423bf8|tok_33268e80607fed6e|tok_6a696035417ed81e|tok_54e8f65818042846|tok_6b0e37fb2b0021f4|tok_2a34dad78181bd15|tok_d9819ce577422986|tok_5890e22e4c13646c|tok_68c15d0e7958e4cb|tok_c16db552e4955c84|tok_265c9e52cfb53b4d|tok_542d9d9dca7b10bf|tok_1916a8b225232dc5|tok_b8d29be98281b379|tok_2cbe657cd7b258cf|tok_d0b65846e90e30f4
740,visual_ltr_catalog_order,4,ra,6,0.188218,false,tok_e09d13a3f22e5dab|tok_bae6736d0dc36940|tok_fdb86aa4d7d44d95|tok_c16db552e4955c84|tok_6a696035417ed81e|tok_5890e22e4c13646c|tok_270dcf3bb0b32241|tok_404e91c1a3cf18d6|tok_8556d2cd0b4ce26c|tok_c3231ea0d4fee217|tok_c1955e93f4423bf8|tok_71f7a3d109fe4387|tok_3bbdf9f6032549ed|tok_9f3194df275374db|tok_d9819ce577422986|tok_c1858e3f23d1a914|tok_f8c77237760a8c90|tok_990fb5383d425b81|tok_33268e80607fed6e|tok_68c15d0e7958e4cb|tok_2bfefeec77b619fc|tok_265c9e52cfb53b4d|tok_542d9d9dca7b10bf|tok_2cbe657cd7b258cf|tok_bc7caff9ec3cf7c3|tok_d0b65846e90e30f4
740,visual_ltr_catalog_order,5,ra,6,0.168948,false,tok_317f91e465a76357|tok_d9819ce577422986|tok_c1955e93f4423bf8|tok_5890e22e4c13646c|tok_3f819cd5a1d1bb2e|tok_9f3194df275374db|tok_c3231ea0d4fee217|tok_ffc8ba250fb4f22e|tok_bc7caff9ec3cf7c3|tok_fdb86aa4d7d44d95|tok_270dcf3bb0b32241|tok_bae6736d0dc36940|tok_f5226003cd1cb153|tok_2a34dad78181bd15|tok_dc07d5ed76abb711|tok_54e8f65818042846|tok_c16db552e4955c84|tok_b8d29be98281b379|tok_740b33754305c815|tok_1916a8b225232dc5|tok_e09d13a3f22e5dab|tok_c1858e3f23d1a914|tok_2bfefeec77b619fc|tok_2cbe657cd7b258cf|tok_d0b65846e90e30f4|tok_404e91c1a3cf18d6
740,visual_ltr_catalog_order,6,ra,7,0.214537,false,tok_3bbdf9f6032549ed|tok_14466b2e7cf2daf9|tok_e12db96eaaf6f4ec|tok_404e91c1a3cf18d6|tok_bc7caff9ec3cf7c3|tok_bae6736d0dc36940|tok_8556d2cd0b4ce26c|tok_e09d13a3f22e5dab|tok_54e8f65818042846|tok_33268e80607fed6e|tok_3c2fc092ce7482f4|tok_d9819ce577422986|tok_d0b65846e90e30f4|tok_71f7a3d109fe4387|tok_c16db552e4955c84|tok_c1955e93f4423bf8|tok_ffc8ba250fb4f22e|tok_b8d29be98281b379|tok_68c15d0e7958e4cb|tok_3f819cd5a1d1bb2e|tok_2bfefeec77b619fc|tok_1916a8b225232dc5|tok_542d9d9dca7b10bf|tok_f9e363882655387e|tok_265c9e52cfb53b4d|tok_f8c77237760a8c90
740,visual_ltr_catalog_order,7,ra,6,0.188218,false,tok_6b0e37fb2b0021f4|tok_6a264ada97f1af9c|tok_740b33754305c815|tok_fdb86aa4d7d44d95|tok_317f91e465a76357|tok_71f7a3d109fe4387|tok_54e8f65818042846|tok_2cbe657cd7b258cf|tok_404e91c1a3cf18d6|tok_2bfefeec77b619fc|tok_c1955e93f4423bf8|tok_1916a8b225232dc5|tok_b8d29be98281b379|tok_2a34dad78181bd15|tok_8556d2cd0b4ce26c|tok_990fb5383d425b81|tok_542d9d9dca7b10bf|tok_c3231ea0d4fee217|tok_3f819cd5a1d1bb2e|tok_33268e80607fed6e|tok_c16db552e4955c84|tok_bae6736d0dc36940|tok_c1858e3f23d1a914|tok_dc07d5ed76abb711|tok_ffc8ba250fb4f22e|tok_265c9e52cfb53b4d
740,visual_ltr_catalog_order,8,ra,7,0.202216,false,tok_71f7a3d109fe4387|tok_542d9d9dca7b10bf|tok_b8d29be98281b379|tok_265c9e52cfb53b4d|tok_5890e22e4c13646c|tok_33268e80607fed6e|tok_ffc8ba250fb4f22e|tok_317f91e465a76357|tok_54e8f65818042846|tok_8556d2cd0b4ce26c|tok_fdb86aa4d7d44d95|tok_f8c77237760a8c90|tok_14466b2e7cf2daf9|tok_c16db552e4955c84|tok_dc07d5ed76abb711|tok_3f819cd5a1d1bb2e|tok_1916a8b225232dc5|tok_3c2fc092ce7482f4|tok_6b0e37fb2b0021f4|tok_3bbdf9f6032549ed|tok_c1858e3f23d1a914|tok_c1955e93f4423bf8|tok_bae6736d0dc36940|tok_f5226003cd1cb153|tok_d9819ce577422986|tok_f9e363882655387e
740,visual_ltr_catalog_order,9,ra,4,0.181089,false,tok_b8d29be98281b379|tok_c3231ea0d4fee217|tok_71f7a3d109fe4387|tok_bc7caff9ec3cf7c3|tok_265c9e52cfb53b4d|tok_2cbe657cd7b258cf|tok_f8c77237760a8c90|tok_2bfefeec77b619fc|tok_54e8f65818042846|tok_bae6736d0dc36940|tok_2a34dad78181bd15|tok_33268e80607fed6e|tok_6b0e37fb2b0021f4|tok_c1955e93f4423bf8|tok_740b33754305c815|tok_6a696035417ed81e|tok_fdb86aa4d7d44d95|tok_3f819cd5a1d1bb2e|tok_c1858e3f23d1a914|tok_3bbdf9f6032549ed|tok_542d9d9dca7b10bf|tok_dc07d5ed76abb711|tok_e09d13a3f22e5dab|tok_c16db552e4955c84|tok_ffc8ba250fb4f22e|tok_1916a8b225232dc5
