sign_id,orientation_policy,sample_count,modal_brahmi_label,modal_count,observed_mean_modal_distance,v3_raw_modal_label,v3_sha_modal_label,v3_cisi_modal_label,v3_cisi_modal_share,original_shape_null_share,original_label_null_share,v3_preflight_decision,impostor_pool_size,iterations,impostor_ge_observed_share,impostor_best_modal_count,impostor_best_mean_distance,impostor_best_label,gate_decision,accepted_phonetic_anchor,blocked_reason
740,visual_ltr_catalog_order,26,ra,12,0.358895,ra,ra,ra,0.555556,0.141538,0.074000,blocked_before_review,42,1000,0.000000,10,0.201096,ra,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
798,visual_ltr_catalog_reverse,12,ra,12,0.323859,ra,ra,ra,1.000000,0.100000,0.000000,blocked_before_review,138,1000,0.000000,12,0.345358,ra,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
055,visual_ltr_catalog_reverse,11,ra,11,0.326488,ra,ra,ra,1.000000,0.097727,0.000000,blocked_before_review,132,1000,0.002000,11,0.305672,ra,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
002,visual_ltr_catalog_order,23,ra,10,0.429756,ra,ra,ra,0.454545,0.196304,0.024000,blocked_before_review,30,1000,0.000000,8,0.263921,o,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
001,visual_ltr_catalog_order,14,ra,10,0.377259,ra,ra,ra,0.800000,0.138214,0.000000,blocked_before_review,116,1000,0.177000,14,0.322958,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
740,visual_ltr_catalog_reverse,26,ra,9,0.341570,ra,ra,ra,0.555556,0.197500,0.074000,blocked_before_review,36,1000,0.000000,7,0.292362,dha,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
001,visual_ltr_catalog_reverse,14,ra,9,0.349524,ra,ra,ra,0.600000,0.151071,0.000000,blocked_before_review,123,1000,0.113000,14,0.341185,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
004,visual_ltr_catalog_reverse,12,ra,8,0.546149,ra,ra,ra,0.500000,0.232500,0.000000,blocked_before_review,141,1000,0.887000,12,0.315323,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
032,visual_ltr_catalog_reverse,15,ra,7,0.458958,ra,ra,tha,0.500000,0.208667,0.086000,blocked_before_review,44,1000,0.002000,7,0.282485,dha,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
220,visual_ltr_catalog_reverse,7,ra,7,0.429934,ra,ra,ra,1.000000,0.122143,0.001000,blocked_before_review,118,1000,0.197000,7,0.249868,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
220,visual_ltr_catalog_order,7,ra,7,0.443929,ra,ra,ra,1.000000,0.082143,0.014000,blocked_before_review,124,1000,0.155000,7,0.254133,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
002,visual_ltr_catalog_reverse,23,sya,6,0.382141,sya,ra,ra,0.454545,0.274348,1.000000,blocked_before_review,26,1000,0.000000,4,0.261193,dha,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
032,visual_ltr_catalog_order,15,ra,6,0.487750,ra,ra,ra,0.250000,0.188333,1.000000,blocked_before_review,43,1000,0.013000,6,0.266388,dha,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
407,visual_ltr_catalog_reverse,13,ra,6,0.352724,ra,ra,ra,0.666667,0.221538,0.010000,blocked_before_review,103,1000,0.483000,12,0.244304,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
798,visual_ltr_catalog_order,12,ra,6,0.448594,ra,ra,ra,0.500000,0.127500,0.078000,blocked_before_review,79,1000,0.703000,11,0.235334,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
004,visual_ltr_catalog_order,12,ra,6,0.410688,ra,ra,ra,0.500000,0.187917,0.010000,blocked_before_review,90,1000,0.339000,10,0.263161,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
055,visual_ltr_catalog_order,11,sya,6,0.382141,sya,sya,sya,0.500000,0.133182,1.000000,blocked_before_review,101,1000,0.320000,9,0.222330,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
240,visual_ltr_catalog_order,11,tha,6,0.367000,tha,ra,ra,0.500000,0.465455,1.000000,blocked_before_review,23,1000,0.000000,4,0.363189,ja,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
861,visual_ltr_catalog_order,9,ra,6,0.181271,ra,ra,ra,0.400000,0.145556,0.074000,blocked_before_review,50,1000,0.000000,5,0.260081,dha,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
861,visual_ltr_catalog_reverse,9,a,6,0.310803,a,a,a,0.400000,0.151667,0.078000,blocked_before_review,50,1000,0.000000,5,0.214799,o,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
527,visual_ltr_catalog_order,6,ra,6,0.198482,ra,ra,ra,1.000000,0.035000,0.031000,blocked_before_review,159,1000,0.000000,6,0.236003,ra,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
820,visual_ltr_catalog_reverse,6,ra,6,0.259691,ra,ra,ra,1.000000,0.078333,1.000000,blocked_before_review,132,1000,0.003000,6,0.228081,ra,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
820,visual_ltr_catalog_order,6,tha,6,0.338778,tha,tha,tha,1.000000,0.483333,1.000000,blocked_before_review,12,1000,0.000000,5,0.292986,ba,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
555,visual_ltr_catalog_reverse,6,tha,6,0.367000,tha,tha,tha,1.000000,0.395000,1.000000,blocked_before_review,24,1000,0.001000,6,0.349056,tha,failed_real_token_impostor_forger,false,failed_v3_independence_preflight;not_accepted_in_v2_gate
617,visual_ltr_catalog_reverse,6,ra,6,0.429998,ra,ra,ra,1.000000,0.131667,0.000000,blocked_before_review,137,1000,0.250000,6,0.263527,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
390,visual_ltr_catalog_reverse,10,dha,5,0.307404,dha,ra,ra,0.500000,0.275000,0.084000,blocked_before_review,98,1000,0.473000,9,0.234950,ra,failed_real_token_impostor_forger,false,real_token_impostor_null_above_0_01;failed_v3_independence_preflight;not_accepted_in_v2_gate
