family_id,sign_id,orientation_policy,token_id,iteration,modal_brahmi_label,nearest_label,nearest_distance,modal_distance,observed_family_mean_modal_distance,modal_distance_le_observed_mean
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,0,ra,da,0.682296,0.693590,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,1,ra,ḍa,0.671542,0.863851,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,2,ra,ra,0.684083,0.684083,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,3,ra,kha,0.603354,0.772744,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,4,ra,i,0.786238,0.874909,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,5,ra,da,0.640056,0.647404,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,6,ra,ta,0.662129,0.852617,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,7,ra,sa,0.706280,0.911752,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,8,ra,ra,0.656183,0.656183,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,9,ra,u,0.627686,0.908257,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,10,ra,a,0.789191,0.868870,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,11,ra,kha,0.645870,0.650364,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,12,ra,daṃ,0.692299,0.916844,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,13,ra,ca,0.641337,0.699160,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,14,ra,i,0.771081,0.877259,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,15,ra,ta,0.642869,0.686910,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,16,ra,ra,0.810924,0.810924,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,17,ra,ra,0.639162,0.639162,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,18,ra,ḍa,0.530526,0.917047,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_c9581fdf0a5e0848,19,ra,dra,0.770403,0.803686,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_1707f5ac0931de28,0,ra,raṃ,0.783187,0.912566,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_1707f5ac0931de28,1,ra,ca,0.492690,0.533303,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_1707f5ac0931de28,2,ra,daṃ,0.638004,0.855870,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_1707f5ac0931de28,3,ra,raṃ,0.606155,0.877429,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_1707f5ac0931de28,4,ra,ḍa,0.671311,0.890285,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_1707f5ac0931de28,5,ra,i,0.712899,0.750525,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_1707f5ac0931de28,6,ra,da,0.758009,0.844967,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_1707f5ac0931de28,7,ra,daṃ,0.798573,0.881597,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_1707f5ac0931de28,8,ra,pra,0.778268,0.905607,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_1707f5ac0931de28,9,ra,o,0.544144,0.853633,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_1707f5ac0931de28,10,ra,dra,0.905595,0.912160,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_1707f5ac0931de28,11,ra,ca,0.599757,0.636544,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_1707f5ac0931de28,12,ra,a,1.000000,1.000000,0.398727,False
family_cecfb60b5ab600bf,740,visual_ltr_catalog_order,tok_1707f5ac0931de28,13,ra,ra,0.706869,0.706869,0.398727,False
