"image","src","x","y","w","h","sha256"
"H346_A_panel.png","cisi_india_n265_h346_w2000.jpg","530","210","410","390","223541704b8f94babcc0fb451eaea69732d6b56f7d3bfca5cbce00e7de52bd67"
"H346_B_panel.png","cisi_india_n265_h346_w2000.jpg","530","610","410","390","acc1e7a5e0d4ed15743298d7ac613325693ca2798496b128522b8dc547482204"
"H786_A_panel.png","cisi_pakistan_n359_h786_w2000.jpg","840","2200","700","390","48fe85fc597780d296fb3e550c3d212c9e5a578d11e521250567035927a4cf8c"
"H786_B_panel.png","cisi_pakistan_n359_h786_w2000.jpg","840","2600","700","410","af77f3d11e1dd504fa7c485a5d4cd20c82e2080369a6685c6df7176dac9053d9"
"H938_A_panel.png","cisi_pakistan_n374_h939_h940_w2000.jpg","180","2980","560","420","f5c4752806a64b312e067795b15cab9e6a415690d93a2596cacec59c558a75ac"
"H938_A_bis_panel.png","cisi_pakistan_n374_h939_h940_w2000.jpg","180","3440","560","440","f613d645f0223ba94d540dc2534c4e1e488881eefb938f919957c564f6399fe2"
"H938_B_panel.png","cisi_pakistan_n374_h939_h940_w2000.jpg","180","3960","560","430","9a9c281263778f16e6a269d90c2aca9d6a819abd7e366a68d903e9f76d3dba22"
"H939_A_panel.png","cisi_pakistan_n374_h939_h940_w2000.jpg","880","2700","680","430","c3d2d263446aa9df908b1bd82d1f7d928bb8b18ad2f1472f912099b41131a110"
"H939_A_bis_panel.png","cisi_pakistan_n374_h939_h940_w2000.jpg","880","3150","680","440","71836669f6d0b18a96194431a8f1c22476b6ddfa2c4faeb08005f167fa8d8306"
"H939_B_panel.png","cisi_pakistan_n374_h939_h940_w2000.jpg","880","3520","680","430","6cec42db854acb7c8cba962e90ff5a9399cec45cb0eb8ba3ae963fc8edc08ada"
"H939_B_bis_panel.png","cisi_pakistan_n374_h939_h940_w2000.jpg","880","3960","680","430","e356c87546351738657a82d45c9579e99373283c427e69a751356e95fe770768"
"H940_A_panel.png","cisi_pakistan_n374_h939_h940_w2000.jpg","1740","2700","700","430","1a811532871b56d5c2131161c0740586c21d6a1a2edb4aa674be137ae8a1cf1f"
"H940_B_panel.png","cisi_pakistan_n374_h939_h940_w2000.jpg","1740","3130","700","430","6ff592ab4bcaddbcb61ffb41e1fad1b96cc1e25bf6b138db731f83660bd3de27"
"H941_A_panel.png","cisi_pakistan_n374_h939_h940_w2000.jpg","2540","2380","690","430","ec83d252fe7422bb31220b300fba26462e49051e1a5e25652a040cab6a382a83"
"H941_A_bis_panel.png","cisi_pakistan_n374_h939_h940_w2000.jpg","2540","2760","690","430","988cf676d93b4b03fc980bcf30d58d0db34390907b210ec8f2b244c5aedb5d41"
"H941_B_panel.png","cisi_pakistan_n374_h939_h940_w2000.jpg","2540","3150","690","430","7490ea00352abdf6501eea5ccd69c423ee9ea2d62ff18936e37c60478c90215d"
"H941_B_bis_panel.png","cisi_pakistan_n374_h939_h940_w2000.jpg","2540","3560","690","430","9d8f826f398cbbd874d08509320d707132bcb0692388cc9be7efb8a38d3b17ef"
