"source_path","side_id","artifact_base","description","grapheme_count","graphemes"
"corpus/m001_m099/m001.json","M-1A","M-1","unicorn I seal","5","P121 P202 P385 P073 P108"
"corpus/m001_m099/m003.json","M-3A","M-3","unicorn I seal","3","P320 P145 P094"
"corpus/m001_m099/m004.json","M-4A","M-4","unicorn I seal","10","P205 P186 P147 P316 P056 P122 P237 P268 P268 P147"
"corpus/m001_m099/m005.json","M-5A","M-5","unicorn I seal","6","P324 P096 P062 P060 P120 P256"
"corpus/m001_m099/m006.json","M-6A","M-6","unicorn I seal","4","P378 P384 P201 P065"
"corpus/m001_m099/m007.json","M-7A","M-7","unicorn I seal","11","P086 P352 P011 P324 P154 P009 P154 P175 P062 P122 P385"
"corpus/m001_m099/m008.json","M-8A","M-8","unicorn I seal","3","P316 P011 P270"
"corpus/m001_m099/m009.json","M-9A","M-9","unicorn I seal","3","P144 P205 P327"
"corpus/m001_m099/m010.json","M-10A","M-10","unicorn I seal","10","P086 P204 P114 P151 P316 P060 P364 P122 P067 P221"
"corpus/m001_m099/m012.json","M-12A","M-12","unicorn II seal","9","P324 P086 P276 P058 P122 P202 P386 P182 P108"
"corpus/m001_m099/m013.json","M-13A","M-13","unicorn II seal","3","P202 P205 P035"
"corpus/m001_m099/m014.json","M-14A","M-14","unicorn II seal","5","P324 P117 P210 P122 P385"
"corpus/m001_m099/m015.json","M-15A","M-15","unicorn II seal","5","P013 P324 P194 P122 P385"
"corpus/m001_m099/m016.json","M-16A","M-16","unicorn II seal","4","P378 P026 P151 P346"
"corpus/m001_m099/m017.json","M-17A","M-17","unicorn II seal","5","P086 P126 P122 P369 P232"
"corpus/m001_m099/m018.json","M-18A","M-18","unicorn II seal","3","P341 P324 P142"
"corpus/m001_m099/m019.json","M-19A","M-19","unicorn II seal","3","P000 P122 P385"
"corpus/m001_m099/m020.json","M-20A","M-20","unicorn II seal","8","P086 P125 P122 P385 P147 P147 P215 P275"
"corpus/m001_m099/m021.json","M-21A","M-21","unicorn II seal","8","P091 P121 P324 P272 P256 P145 P122 P385"
"corpus/m001_m099/m022.json","M-22A","M-22","unicorn II seal","7","P324 P172 P194 P050 P145 P230 P000"
"corpus/m001_m099/m023.json","M-23A","M-23","unicorn II seal","13","P324 P197 P120 P256 P217 P050 P060 P121 P160 P350 P390 P076 P202"
"corpus/m001_m099/m024.json","M-24A","M-24","unicorn II seal","7","P013 P324 P062 P060 P122 P174 P011"
"corpus/m001_m099/m025.json","M-25A","M-25","unicorn II seal","5","P268 P268 P050 P316 P276"
"corpus/m001_m099/m026.json","M-26A","M-26","unicorn II seal","5","P013 P324 P228 P120 P256"
"corpus/m001_m099/m027.json","M-27A","M-27","unicorn II seal","7","P238 P060 P364 P325 P311 P154 P123"
"corpus/m001_m099/m028.json","M-28A","M-28","unicorn II seal","8","P000 P103 P324 P332 P349 P095 P122 P385"
"corpus/m001_m099/m029.json","M-29A","M-29","unicorn II seal","9","P324 P142 P062 P060 P364 P122 P050 P221 P210"
"corpus/m001_m099/m030.json","M-30A","M-30","unicorn II seal","7","P324 P332 P127 P210 P062 P060 P364"
"corpus/m001_m099/m031.json","M-31A","M-31","unicorn III seal","6","P324 P067 P275 P058 P120 P378"
"corpus/m001_m099/m032.json","M-32A","M-32","unicorn III seal","4","P086 P123 P122 P385"
"corpus/m001_m099/m033.json","M-33A","M-33","unicorn III seal","7","P324 P145 P175 P111 P058 P122 P041"
"corpus/m001_m099/m034.json","M-34A","M-34","unicorn III seal","7","P324 P309 P194 P122 P086 P108 P103"
"corpus/m001_m099/m035.json","M-35A","M-35","unicorn III seal","7","P324 P086 P276 P058 P056 P122 P007"
"corpus/m001_m099/m036.json","M-36A","M-36","unicorn III seal","9","P324 P358 P270 P050 P145 P122 P202 P174 P307"
"corpus/m001_m099/m037.json","M-37A","M-37","unicorn III seal","3","P217 P050 P092"
"corpus/m001_m099/m038.json","M-38A","M-38","unicorn III seal","13","P324 P256 P188 P073 P050 P145 P062 P060 P122 P086 P035 P270 P145"
"corpus/m001_m099/m039.json","M-39A","M-39","unicorn III seal","7","P000 P316 P062 P060 P139 P083 P303"
"corpus/m001_m099/m040.json","M-40A","M-40","unicorn III seal","5","P089 P122 P301 P186 P125"
"corpus/m001_m099/m041.json","M-41A","M-41","unicorn III seal","8","P324 P270 P062 P060 P122 P086 P035 P378"
"corpus/m001_m099/m042.json","M-42A","M-42","unicorn III seal","5","P301 P230 P062 P122 P385"
"corpus/m001_m099/m043.json","M-43A","M-43","unicorn III seal","6","P324 P230 P056 P122 P142 P360"
"corpus/m001_m099/m044.json","M-44A","M-44","unicorn III seal","8","P324 P332 P147 P316 P364 P122 P154 P296"
"corpus/m001_m099/m045.json","M-45A","M-45","unicorn III seal","7","P268 P268 P372 P139 P205 P349 P145"
"corpus/m001_m099/m046.json","M-46A","M-46","unicorn III seal","8","P324 P230 P062 P060 P122 P050 P201 P353"
"corpus/m001_m099/m047.json","M-47A","M-47","unicorn III seal","5","P324 P332 P060 P122 P385"
"corpus/m001_m099/m048.json","M-48A","M-48","unicorn III seal","6","P086 P378 P215 P120 P202 P154"
