"edge_id","from_sign_uid","to_sign_uid","support_count","counterexample_count","aligned_positions","top_share","confidence","review_status","accepted_for_analysis"
"edge_00001","lipi_numeric:740","mayig_p:P324","73","0","73","1.000000","medium_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00002","lipi_numeric:002","mayig_p:P122","57","2","60","0.950000","medium_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00003","lipi_numeric:220","mayig_p:P050","27","2","29","0.931034","low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00004","lipi_numeric:390","mayig_p:P086","25","0","25","1.000000","medium_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00005","lipi_numeric:032","mayig_p:P145","20","1","21","0.952381","medium_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00006","lipi_numeric:060","mayig_p:P120","17","0","17","1.000000","medium_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00007","lipi_numeric:520","mayig_p:P217","15","0","15","1.000000","medium_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00008","lipi_numeric:240","mayig_p:P062","14","0","14","1.000000","medium_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00009","lipi_numeric:820","mayig_p:P378","14","0","14","1.000000","medium_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00010","lipi_numeric:233","mayig_p:P058","13","0","13","1.000000","medium_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00011","lipi_numeric:235","mayig_p:P060","13","0","13","1.000000","medium_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00013","lipi_numeric:817","mayig_p:P385","12","0","12","1.000000","medium_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00014","lipi_numeric:861","mayig_p:P385","12","0","12","1.000000","medium_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00012","lipi_numeric:741","mayig_p:P325","10","1","13","0.769231","very_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00015","lipi_numeric:003","mayig_p:P123","10","0","10","1.000000","medium_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00016","lipi_numeric:368","mayig_p:P202","10","0","10","1.000000","medium_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00018","lipi_numeric:803","mayig_p:P364","9","1","10","0.900000","low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00017","lipi_numeric:798","mayig_p:P230","6","1","10","0.600000","very_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00031","lipi_numeric:415","mayig_p:P092","5","1","6","0.833333","very_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00032","lipi_numeric:900","mayig_p:P154","5","1","6","0.833333","very_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00027","lipi_numeric:920","mayig_p:P154","4","2","7","0.571429","very_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00064","lipi_numeric:832","mayig_p:P368","2","1","3","0.666667","very_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00071","lipi_numeric:236","mayig_p:P051","1","1","2","0.500000","very_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00080","lipi_numeric:621","mayig_p:P092","1","1","2","0.500000","very_low","needs_image_or_authoritative_sign_list_validation","false"
"edge_00085","lipi_numeric:844","mayig_p:P349","1","1","2","0.500000","very_low","needs_image_or_authoritative_sign_list_validation","false"
