edge_id,from_sign_uid,to_sign_uid,mapping_state,evidence_types,support_count,counterexample_count,aligned_positions,top_share,example_witnesses,counterexample_witnesses,confidence,review_status,accepted_for_analysis
edge_00025,lipi_numeric:031,mayig_p:P144,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,7,0,7,1.000000,M-9;M-65;M-90;M-135;M-136;M-155;M-160,,low,needs_image_or_authoritative_sign_list_validation,false
edge_00026,lipi_numeric:255,mayig_p:P073,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,7,0,7,1.000000,M-1;M-38;M-91;M-97;M-100;M-133;M-146,,low,needs_image_or_authoritative_sign_list_validation,false
edge_00027,lipi_numeric:920,mayig_p:P154,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,4,2,7,0.571429,M-44;M-48;M-53;M-59;M-84;M-113;M-146,P160:2;P156:1,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00028,lipi_numeric:001,mayig_p:P121,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,6,0,6,1.000000,M-1;M-21;M-65;M-84;M-157;M-172,,low,needs_image_or_authoritative_sign_list_validation,false
edge_00029,lipi_numeric:016,mayig_p:P126,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,6,0,6,1.000000,M-17;M-53;M-112;M-136;M-158;M-178,,low,needs_image_or_authoritative_sign_list_validation,false
edge_00030,lipi_numeric:176,mayig_p:P194,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,6,0,6,1.000000,M-15;M-34;M-115;M-116;M-127;M-155,,low,needs_image_or_authoritative_sign_list_validation,false
edge_00031,lipi_numeric:415,mayig_p:P092,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,5,1,6,0.833333,M-37;M-52;M-109;M-144;M-154;M-163,P122:1,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00032,lipi_numeric:900,mayig_p:P154,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,5,1,6,0.833333,M-102;M-119;M-121;M-138;M-157;M-173,P160:1,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00033,lipi_numeric:923,mayig_p:P175,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,6,0,6,1.000000,M-33;M-124;M-128;M-170;M-171;M-174,,low,needs_image_or_authoritative_sign_list_validation,false
edge_00034,lipi_numeric:065,mayig_p:P201,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,5,0,5,1.000000,M-6;M-46;M-108;M-140;M-151,,low,needs_image_or_authoritative_sign_list_validation,false
edge_00035,lipi_numeric:156,mayig_p:P004,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,5,0,5,1.000000,M-80;M-93;M-96;M-97;M-132,,low,needs_image_or_authoritative_sign_list_validation,false
edge_00036,lipi_numeric:231,mayig_p:P056,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,5,0,5,1.000000,M-35;M-43;M-57;M-69;M-86,,low,needs_image_or_authoritative_sign_list_validation,false
edge_00037,lipi_numeric:503,mayig_p:P210,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,5,0,5,1.000000,M-14;M-29;M-30;M-58;M-101,,low,needs_image_or_authoritative_sign_list_validation,false
edge_00038,lipi_numeric:760,mayig_p:P332,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,5,0,5,1.000000,M-44;M-47;M-112;M-114;M-149,,low,needs_image_or_authoritative_sign_list_validation,false
edge_00039,lipi_numeric:806,mayig_p:P364,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,5,0,5,1.000000,M-29;M-30;M-166;M-171;M-173,,low,needs_image_or_authoritative_sign_list_validation,false
edge_00040,lipi_numeric:840,mayig_p:P349,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,5,0,5,1.000000,M-56;M-90;M-113;M-116;M-143,,low,needs_image_or_authoritative_sign_list_validation,false
edge_00041,lipi_numeric:004,mayig_p:P124,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,4,0,4,1.000000,M-64;M-75;M-96;M-103,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00042,lipi_numeric:055,mayig_p:P142,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,4,0,4,1.000000,M-18;M-29;M-43;M-117,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00043,lipi_numeric:527,mayig_p:P301,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,4,0,4,1.000000,M-40;M-42;M-88;M-133,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00044,lipi_numeric:545,mayig_p:P226,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,4,0,4,1.000000,M-78;M-102;M-132;M-136,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00045,lipi_numeric:590,mayig_p:P276,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,4,0,4,1.000000,M-12;M-35;M-94;M-131,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00046,lipi_numeric:061,mayig_p:P204,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-164;M-170;M-171,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00047,lipi_numeric:100,mayig_p:P009,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-91;M-116;M-144,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00048,lipi_numeric:125,mayig_p:P035,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-13;M-38;M-119,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00049,lipi_numeric:142,mayig_p:P031,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-71;M-145;M-164,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00050,lipi_numeric:151,mayig_p:P001,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-71;M-119;M-160,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00051,lipi_numeric:190,mayig_p:P076,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-53;M-115;M-153,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00052,lipi_numeric:226,mayig_p:P051,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-57;M-70;M-147,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00053,lipi_numeric:297,mayig_p:P205,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-53;M-114;M-183,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00054,lipi_numeric:350,mayig_p:P091,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-21;M-51;M-92,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00055,lipi_numeric:388,mayig_p:P110,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-88;M-133;M-173,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00056,lipi_numeric:400,mayig_p:P098,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-87;M-123;M-145,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00057,lipi_numeric:416,mayig_p:P095,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-91;M-114;M-182,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00058,lipi_numeric:440,mayig_p:P283,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-114;M-140;M-149,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00059,lipi_numeric:455,mayig_p:P221,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-29;M-140;M-147,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00060,lipi_numeric:460,mayig_p:P215,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-51;M-58;M-92,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00061,lipi_numeric:632,mayig_p:P270,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-8;M-38;M-119,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00062,lipi_numeric:706,mayig_p:P316,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-8;M-64;M-65,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00063,lipi_numeric:790,mayig_p:P355,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-121;M-131;M-157,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00064,lipi_numeric:832,mayig_p:P368,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,1,3,0.666667,M-77;M-139;M-150,P366:1,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00065,lipi_numeric:906,mayig_p:P174,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,3,0,3,1.000000,M-24;M-36;M-133,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00066,lipi_numeric:005,mayig_p:P125,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-40;M-138,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00067,lipi_numeric:013,mayig_p:P139,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-90;M-116,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00068,lipi_numeric:018,mayig_p:P128,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-83;M-172,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00069,lipi_numeric:130,mayig_p:P026,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-16;M-153,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00070,lipi_numeric:215,mayig_p:P353,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,2,0,2,1.000000,M-46;M-99,,very_low,needs_image_or_authoritative_sign_list_validation,false
edge_00071,lipi_numeric:236,mayig_p:P051,uncertain,same_artifact;count_matched;position_aligned;direction_R_L,1,1,2,0.500000,M-54;M-139,P061:1,very_low,needs_image_or_authoritative_sign_list_validation,false
