"date","object","view","path","source_file","box","width","height","sha256","note"
"2026-05-26","M-803","M-803_face_A_full_with_label","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/derived/M-803_face_A_full_with_label.png","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/n102_w2000.jpg","[2260, 2440, 3150, 3460]","890","1020","9bd5ac8c3c629600af3945a65c19edc44c7aa5cd9d02e17085b26d077592480a","CISI Pakistan leaf n102 / printed p.68, M-803 A full panel with label"
"2026-05-26","M-803","M-803_impression_a_full_with_label","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/derived/M-803_impression_a_full_with_label.png","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/n102_w2000.jpg","[2260, 3440, 3150, 4520]","890","1080","e2de09e29640c67b361220303b4304df2106bce313d1e8a4db1e8891d9159433","CISI Pakistan leaf n102 / printed p.68, M-803 a full panel with label"
"2026-05-26","M-803","M-803_face_A_signs_close","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/derived/M-803_face_A_signs_close.png","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/n102_w2000.jpg","[2260, 2480, 3140, 2975]","880","495","bc0853160d470db1c847a2a23302c3aa46df201f5c413a4e4eeec01d64cb5eff","M-803 A inscription band close crop"
"2026-05-26","M-803","M-803_impression_a_signs_close","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/derived/M-803_impression_a_signs_close.png","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/n102_w2000.jpg","[2260, 3480, 3150, 3975]","890","495","72c3031a4db6e5cb5f86ca21a5f15f58afd789419e2475c459fb4fd549c333ba","M-803 a inscription band close crop"
"2026-05-26","M-918","M-918_face_A_full_with_label","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/derived/M-918_face_A_full_with_label.png","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/n122_w2000.jpg","[1640, 2040, 2350, 2935]","710","895","f9c1eb747df72e1188e9451a68fd44daa2cfee3aea2eeeb3caee3dcd287c50e6","CISI Pakistan leaf n122 / printed p.88, M-918 A full panel with label"
"2026-05-26","M-918","M-918_impression_a_full_with_label","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/derived/M-918_impression_a_full_with_label.png","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/n122_w2000.jpg","[2360, 2040, 3140, 2940]","780","900","cf30424fda2298bef11f9e5dad46217181a15252ab9c0b48de98c08eb8fa3f32","CISI Pakistan leaf n122 / printed p.88, M-918 a full panel with label"
"2026-05-26","M-918","M-918_face_A_signs_close","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/derived/M-918_face_A_signs_close.png","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/n122_w2000.jpg","[1640, 2080, 2350, 2520]","710","440","b4785cd2472d4cee546511b113d702fc298478d25bffd6f81ffae4a6e805cffe","M-918 A inscription band close crop"
"2026-05-26","M-918","M-918_impression_a_signs_close","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/derived/M-918_impression_a_signs_close.png","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/n122_w2000.jpg","[2360, 2080, 3140, 2520]","780","440","2923029ff26f70fd9af15a3e426e3d4ca25cf82aa53f3dce2a4e5bb7357222f0","M-918 a inscription band close crop"
"2026-05-26","M-984","M-984_face_A_full_with_label","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/derived/M-984_face_A_full_with_label.png","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/n130_w2000.jpg","[1670, 300, 2325, 1225]","655","925","ca6e338b8f0b4ab745e772a24ff3e24fe71648f663c2b0b475332a7d3e055c36","CISI Pakistan leaf n130 / printed p.96, M-984 A full panel with label"
"2026-05-26","M-984","M-984_impression_a_full_with_label","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/derived/M-984_impression_a_full_with_label.png","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/n130_w2000.jpg","[2390, 230, 3150, 1225]","760","995","969f546301f6a5a311c7895ef870de51f77bfe6879a86d5a62716d9811e4f3f3","CISI Pakistan leaf n130 / printed p.96, M-984 a full panel with label"
"2026-05-26","M-984","M-984_impression_a_bis_full_with_label","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/derived/M-984_impression_a_bis_full_with_label.png","C:/Users/Acer/OneDrive/Documents/ivc/tmp/m315_second_slot_controls/new_controls/n130_w2000.jpg","[1660, 1350, 2325, 2235]","665","885","f55308822a9d66fe8815bfcd534da1358c83d865df95858b1bc4cdb95a095699","CISI Pakistan leaf n130 / printed p.96, M-984 a bis full panel with label"
